"skill_id","skills","demand_count","avg_salary"
213,"kubernetes","56","158190"
94,"numpy","14","157592"
63,"cassandra","19","151282"
98,"kafka","134","150549"
27,"golang","11","147818"
212,"terraform","44","146057"
93,"pandas","38","144656"
59,"elasticsearch","21","144102"
144,"ruby","14","144000"
30,"ruby","14","144000"
83,"aurora","14","142887"
101,"pytorch","11","142254"
3,"scala","113","141777"
92,"spark","237","139838"
95,"pyspark","64","139428"
64,"dynamodb","27","138883"
18,"mongodb","32","138569"
62,"mongodb","32","138569"
96,"airflow","151","138518"
4,"java","139","138087"
97,"hadoop","98","137707"
17,"typescript","19","137207"
2,"nosql","93","136430"
6,"shell","34","135499"
185,"looker","30","134614"
